Trip_ID,Port,Fork_length,Weight
MH_16,Musgrave_Harbour,,
BdV_14_N1,Baie_de_Verde,28,240
BdV_14_N1,Baie_de_Verde,27,175
BdV_14_N1,Baie_de_Verde,27,185
BdV_14_N1,Baie_de_Verde,30,270
BdV_14_N1,Baie_de_Verde,29,220
BdV_14_N1,Baie_de_Verde,29,190
BdV_14_N1,Baie_de_Verde,27,170
BdV_14_N1,Baie_de_Verde,27,190
BdV_14_N1,Baie_de_Verde,27.5,205
BdV_14_N1,Baie_de_Verde,28.75,250
BdV_14_N2,Baie_de_Verde,30,260
BdV_14_N2,Baie_de_Verde,30,300
BdV_14_N2,Baie_de_Verde,28,250
BdV_14_N2,Baie_de_Verde,29.5,250
BdV_14_N2,Baie_de_Verde,32,340
BdV_14_N2,Baie_de_Verde,32,270
BdV_14_N2,Baie_de_Verde,32,280
BdV_14_N2,Baie_de_Verde,32,300
BdV_14_N2,Baie_de_Verde,30,290
BdV_14_N2,Baie_de_Verde,38.5,225
BdV_15,Baie_de_Verde,,
